job_id,job_title,company_name,location,hourly_min,hourly_max,salary_type,job_type,recruiter_name,recruiter_email,posted_date,description_short,skills_tags,url
934031,Elearning Designer,University of Washington (UW),"Seattle, WA",45,50,Hourly,Contract,Miranda McAdams,,2026-04-03 22:57,"Our education client looking for an eLearning designer to assist their team! This is fully remote freelance position 20hrs/wk starting at the end of April through the end of June. In this role, the eL","WordPress, elearning, Accessibility, Articulate Storyline",https://candidateportal.creativecircle.com/job-detail/934031
934012,UX/UI Designer,McGraw-Hill Co. Inc.,"Columbus, OH",50,55,Hourly,Contract,Billy Carter,,2026-04-03 20:59,We have an EXCITING opportunity with our well known education client who is looking for fully remote UX/UI Designer to join their team for the next 4+ months! The ideal candidate is able to work in Ea,"Figma, User flow, wireframe, Human Centered Design",https://candidateportal.creativecircle.com/job-detail/934012
934007,UX/UI Designer,McGraw-Hill Co. Inc.,"Columbus, OH",44,48,Hourly,Contract,Billy Carter,,2026-04-03 20:47,We have an EXCITING opportunity with our well known education client who is looking for fully remote UX/UI Designer to join their team for the next 4+ months! The ideal candidate is able to work in Ea,"Figma, User flow, wireframe, Human Centered Design",https://candidateportal.creativecircle.com/job-detail/934007
933990,Digital Designer,We Are Alexander,"Plano, TX",45,50,Hourly,Contract,Cody Pickett,,2026-04-03 18:00,"Our agency client is seeking an experienced Digital Designer to join their growing team. This is an ongoing freelance role (40 hrs/week), fully remote, with the opportunity to transition into full-tim","Adobe Creative Suite, Digital Design, Figma, HTML, CSS, Java",https://candidateportal.creativecircle.com/job-detail/933990
933972,Production Designer,"Marriott International, Inc.","Bethesda, New York, MD, NY",35,40,Hourly,Contract,Jennifer Scott,,2026-04-03 16:50,"Our client has an immediate need for Production Designer to support their team 40 hours week, beginning ASAP through June, with potential extension. The Production Designer will support fast-paced, br","InDesign, Photoshop, Illustrator, Color Correction, Workfront",https://candidateportal.creativecircle.com/job-detail/933972
933907," Social Media Designer, Stills and Motion",AMC Networks,"New York, NY",30,40,Hourly,Contract,Jennifer Marshall,,2026-04-02 20:51,"Our client, well-known entertainment media company, is seeking Freelance Social Media Designer to join their Social Production team. This is fully remote opportunity about 40hrs/week, for 6 months wit","Social, Designer, Entertainment, Creative Suite, Concept, Visual Trends, Layout, Type, social first",https://candidateportal.creativecircle.com/job-detail/933907
933897,Web/Digital Designer,SingFit (Musical Health Technologies),"Los Angeles, CA",35,40,Hourly,Contract,Lauren Madden,,2026-04-02 20:28,"Our non-profit client in the healthcare space is looking for an experienced Web/Digital Designer with expertise in the Wix platform to help with some upcoming work. This will be about 10 hours/week, f","Wix, Web Design, CSS3, JavaScript, Responsive Web Design, HTML, Digital Design",https://candidateportal.creativecircle.com/job-detail/933897
933858,Senior Graphic Designer ,THE.TEAM,"Harrisburg, NC",30,35,Hourly,Contract,Casey Buss,,2026-04-02 17:49,"Production Designer / Large Format Designer Location: Remote Schedule: 4 days per week Monday-Thursday, 9-5p ET Duration: 3 month contract with potential for extension Pay Range: $30-$35 per hour Inte","Environmental Design, Production Design, Large Format Design, InDesign, Illustrator, print mechancials, 2D Design, Live Events, 3D Design",https://candidateportal.creativecircle.com/job-detail/933858
933762,Sr. Environmental Designer,Dartmouth Health,"Lebanon, NH",45,55,Hourly,Contract,Hilary Gable,,2026-04-01 20:23,Our client is in the healthcare space. They are needing Sr. Graphic Designer who specializes in environmental graphic concepting and design. This project is fully remote and probably 20-40 hours of to,"Illustrator, InDesign, Environmental Graphics, Enviromental Design, Concepting, Brand Guidelines",https://candidateportal.creativecircle.com/job-detail/933762
933709,Presentation Designer,Health Alliance Plan,"Troy, MI",36,38,Hourly,Contract,Kellen Breitenbach,,2026-04-01 17:00,"Our Healthcare Client is looking for Presentation Designer to join their team in long-term, freelance, project-based capacity. This is remote, freelance position starting in April 2026. This position ","Adobe Photoshop, slide design, master slides, template creation, Microsoft Office, Adobe After Effects, Adobe Premiere Pro, Data Visualization, infographics, Typography",https://candidateportal.creativecircle.com/job-detail/933709
